Task ID,Epic,PR Slice,Layer,Owner Role,Depends On,Atomic Change,Primary Files,Exact Code-Level Requirement,Acceptance Criteria,Test Command,Expected Evidence,Rollback Impact,Merge Independence,Priority
EMAIL-BE-001,Runtime Gate,PR-01 foundation-runtime-and-db,Backend,Backend Engineer,none,Add fail-closed Email runtime settings,"backend/app/settings.py, deploy/.env.prod.example","Add OUTBOUND_EMAIL_ENABLED default false, EMAIL_PROVIDER default disabled, EMAIL_DELIVERY_EVENTS_ENABLED default false, EMAIL_INBOUND_ENABLED default false.",Settings load in dev/test/prod and all Email settings are disabled by default.,pytest backend/tests/test_email_runtime_gate.py::test_email_runtime_defaults_fail_closed,Test output plus env matrix diff.,Unset new envs returns system to pre-email behavior.,yes,P0
EMAIL-BE-002,Runtime Gate,PR-01 foundation-runtime-and-db,Backend,Backend Engineer,EMAIL-BE-001,Validate EMAIL_PROVIDER enum,backend/app/settings.py,Only allow EMAIL_PROVIDER in disabled/ses. Invalid provider must fail startup in production and test.,Invalid EMAIL_PROVIDER raises RuntimeError with actionable message.,pytest backend/tests/test_email_runtime_gate.py::test_invalid_email_provider_fails_startup,RuntimeError assertion.,Revert validation block if needed; defaults remain disabled.,yes,P0
EMAIL-BE-003,Runtime Gate,PR-01 foundation-runtime-and-db,Backend,Backend Engineer,EMAIL-BE-001,Separate Email runtime gate from OUTBOUND_PROVIDER,"backend/app/services/message_dispatch.py, backend/app/services/email_runtime_gate.py",Create email-specific gate using ENABLE_OUTBOUND_DISPATCH + OUTBOUND_EMAIL_ENABLED + EMAIL_PROVIDER; do not use OUTBOUND_PROVIDER=ses.,Email can be enabled while OUTBOUND_PROVIDER remains openclaw; OUTBOUND_PROVIDER=ses is not required or accepted.,pytest backend/tests/test_email_runtime_gate.py::test_email_does_not_overload_outbound_provider,Test proves WhatsApp provider setting remains openclaw.,Disable OUTBOUND_EMAIL_ENABLED to stop Email only.,yes,P0
EMAIL-BE-004,Runtime Gate,PR-01 foundation-runtime-and-db,Backend,Backend Engineer,EMAIL-BE-001,Add production validation for Email secret references,backend/app/settings.py,"When OUTBOUND_EMAIL_ENABLED=true and EMAIL_PROVIDER=ses in production, require EMAIL_SES_SECRET_REF or AWS runtime credentials strategy; never require raw secrets in DB.",Production startup fails with missing credential strategy; dev/test can run with fake provider.,pytest backend/tests/test_email_runtime_gate.py::test_email_prod_requires_secret_strategy,Failure and success cases.,Unset OUTBOUND_EMAIL_ENABLED.,yes,P0
EMAIL-BE-005,Runtime Gate,PR-01 foundation-runtime-and-db,Backend,Backend Engineer,EMAIL-BE-001,Add Email region validation hooks,backend/app/settings.py,Validate EMAIL_SES_REGION when EMAIL_PROVIDER=ses; expose explicit config for receiving region when inbound is enabled.,Invalid/missing SES region blocks Email-enabled startup.,pytest backend/tests/test_email_runtime_gate.py::test_ses_region_required_when_enabled,Region validation output.,Set EMAIL_PROVIDER=disabled.,yes,P1
EMAIL-DB-006,Data Model,PR-01 foundation-runtime-and-db,Database,Backend Engineer,EMAIL-BE-001,Create EmailChannelAccount model,"backend/app/models.py, backend/alembic/versions/*email_outbound*.py","Add email_channel_accounts table linked 1:1 to channel_accounts with provider, from_email, from_name, reply_to_email, return_path_email, region, configuration_set, secret_ref, is_verified, health_status fields.",Alembic upgrade creates table; model can be inserted/read in unit test.,pytest backend/tests/test_email_models_migration.py::test_email_channel_account_model_roundtrip,Migration output and model roundtrip.,Alembic downgrade removes table without touching existing channel_accounts.,yes,P0
EMAIL-DB-007,Data Model,PR-01 foundation-runtime-and-db,Database,Backend Engineer,EMAIL-DB-006,Add uniqueness constraints for Email account identity,backend/alembic/versions/*email_outbound*.py,Enforce one EmailChannelAccount per channel_account_id and unique active from_email+market scope where applicable.,Duplicate active email sender scope is rejected.,pytest backend/tests/test_email_models_migration.py::test_email_account_uniqueness_constraints,Integrity error assertion.,Downgrade drops constraints.,yes,P0
EMAIL-DB-008,Data Model,PR-01 foundation-runtime-and-db,Database,Backend Engineer,EMAIL-DB-006,Create EmailOutboundMetadata model,"backend/app/models.py, backend/alembic/versions/*email_outbound*.py","Add table storing outbound_message_id, subject, to_email, cc_json, bcc_json, from_email, reply_to_email, message_id_header, in_reply_to, references_json, provider_request_json, provider_response_json.",Metadata row can be created and linked to TicketOutboundMessage.,pytest backend/tests/test_email_models_migration.py::test_email_outbound_metadata_roundtrip,Model roundtrip evidence.,Downgrade drops only metadata table.,yes,P0
EMAIL-DB-009,Data Model,PR-01 foundation-runtime-and-db,Database,Backend Engineer,EMAIL-DB-008,Add Email metadata indexes,backend/alembic/versions/*email_outbound*.py,"Index outbound_message_id unique, provider_message_id, message_id_header, to_email, created_at.",Query plan/metadata inspector confirms indexes exist.,pytest backend/tests/test_email_models_migration.py::test_email_metadata_indexes_exist,Inspector output.,Downgrade drops indexes.,yes,P1
EMAIL-DB-010,Data Model,PR-01 foundation-runtime-and-db,Database,Backend Engineer,EMAIL-DB-008,Create EmailDeliveryEvent model,"backend/app/models.py, backend/alembic/versions/*email_outbound*.py","Add table for provider, provider_event_id, provider_message_id, event_type, recipient_email, raw_payload_json, occurred_at, outbound_message_id.",Delivery event can be inserted and linked to outbound message.,pytest backend/tests/test_email_models_migration.py::test_email_delivery_event_roundtrip,Inserted event evidence.,Downgrade drops table.,yes,P0
EMAIL-DB-011,Data Model,PR-01 foundation-runtime-and-db,Database,Backend Engineer,EMAIL-DB-010,Add delivery event idempotency constraint,backend/alembic/versions/*email_outbound*.py,Unique provider+provider_event_id or fallback provider+provider_message_id+event_type+recipient_email+occurred_at hash.,Duplicate webhook event is ignored/rejected deterministically.,pytest backend/tests/test_email_delivery_events.py::test_duplicate_event_is_idempotent,Idempotency assertion.,Constraint removed on downgrade.,yes,P0
EMAIL-DB-012,Data Model,PR-01 foundation-runtime-and-db,Database,Backend Engineer,EMAIL-DB-010,Create EmailSuppressionEntry model,"backend/app/models.py, backend/alembic/versions/*email_outbound*.py","Add email_suppression_entries table with email_normalized, reason, source_event_id, active, created_at.",Suppression entry can block send decisions.,pytest backend/tests/test_email_suppression.py::test_suppression_entry_roundtrip,Roundtrip plus blocking evidence.,Downgrade drops table.,yes,P0
EMAIL-DB-013,Data Model,PR-01 foundation-runtime-and-db,Database,Backend Engineer,EMAIL-DB-012,Add suppression uniqueness constraint,backend/alembic/versions/*email_outbound*.py,Only one active suppression per normalized email+reason class.,Duplicate active complaint suppression is idempotent.,pytest backend/tests/test_email_suppression.py::test_duplicate_suppression_is_idempotent,Test output.,Constraint removed on downgrade.,yes,P1
EMAIL-DB-014,Data Model,PR-01 foundation-runtime-and-db,Database,Backend Engineer,EMAIL-DB-008,Create EmailInboundMessage model,"backend/app/models.py, backend/alembic/versions/*email_outbound*.py","Add inbound email table with message_id_header, from_email, to_email, subject, text_body, html_body_sanitized, raw_storage_key, ticket_id, dedupe_hash, status.",Inbound email can be stored and linked or marked unresolved.,pytest backend/tests/test_email_inbound_parser.py::test_inbound_message_model_roundtrip,Model roundtrip.,Downgrade drops table.,yes,P0
EMAIL-DB-015,Data Model,PR-01 foundation-runtime-and-db,Database,Backend Engineer,EMAIL-DB-014,Add inbound dedupe constraint,backend/alembic/versions/*email_outbound*.py,Unique dedupe_hash for inbound raw message; duplicate inbound does not create duplicate ticket timeline entries.,Duplicate inbound payload is idempotent.,pytest backend/tests/test_email_inbound_parser.py::test_inbound_dedupe_hash_blocks_duplicates,Dedupe assertion.,Constraint removed on downgrade.,yes,P0
EMAIL-BE-016,Account Resolver,PR-01 foundation-runtime-and-db,Backend,Backend Engineer,EMAIL-DB-006,Create provider-scoped ChannelAccount resolver,backend/app/services/channel_account_registry.py,"Implement resolve_channel_account_for_provider(db, provider, market_id, account_id) filtering by provider and active state.",Resolver never returns a row from a different provider.,pytest backend/tests/test_channel_account_provider_scope.py::test_resolver_is_provider_scoped,Cross-provider test matrix.,Revert new resolver only if no Email code uses it.,yes,P0
EMAIL-BE-017,Account Resolver,PR-01 foundation-runtime-and-db,Backend,Backend Engineer,EMAIL-BE-016,Add market/global fallback order to provider-scoped resolver,backend/app/services/channel_account_registry.py,"Resolution order: explicit account_id, ticket.channel_account_id if same provider, market-scoped active account, global active account, fallback if configured.",Market account wins over global; wrong provider never wins.,pytest backend/tests/test_channel_account_provider_scope.py::test_market_global_fallback_order,Resolver order evidence.,Resolver change isolated.,yes,P0
EMAIL-BE-018,Account Resolver,PR-01 foundation-runtime-and-db,Backend,Backend Engineer,EMAIL-BE-016,Patch legacy resolver callsites away from unscoped fallback where unsafe,"backend/app/services/message_dispatch.py, backend/app/services/openclaw_bridge.py",Do not let non-email OpenClaw dispatch use email accounts; provider-specific resolution is mandatory where channel is known.,WhatsApp/Telegram/SMS tests prove email account is ignored.,pytest backend/tests/test_channel_account_provider_scope.py::test_email_account_cannot_pollute_openclaw_channels,Regression test.,Can revert callsite patch if tests fail before Email enabled.,yes,P0
EMAIL-BE-019,Admin API,PR-02 email-admin-api,Backend,Backend Engineer,"EMAIL-DB-006, EMAIL-BE-016",Add admin email account list endpoint,"backend/app/api/admin_email.py, backend/app/main.py","GET /api/admin/email/accounts returns Email account rows with channel account, market, readiness, verification, health.",Admin can list accounts; non-authorized user is rejected.,pytest backend/tests/test_email_admin_api.py::test_list_email_accounts_requires_manage_channels,API response snapshot.,Route can be disabled by not including router.,yes,P1
EMAIL-BE-020,Admin API,PR-02 email-admin-api,Backend,Backend Engineer,EMAIL-BE-019,Add admin email account create endpoint,"backend/app/api/admin_email.py, backend/app/schemas.py",POST /api/admin/email/accounts creates ChannelAccount(provider=email) plus EmailChannelAccount in one transaction; secret_ref only.,Create returns account and no raw secret is persisted.,pytest backend/tests/test_email_admin_api.py::test_create_email_account_transaction_and_secret_ref,DB assertion.,Delete created rows.,yes,P1
EMAIL-BE-021,Admin API,PR-02 email-admin-api,Backend,Backend Engineer,EMAIL-BE-020,Add create validation for from/reply/return-path emails,"backend/app/api/admin_email.py, backend/app/schemas.py, backend/app/services/email_security.py",Validate EmailStr and reject CRLF/header injection in all email account fields.,CRLF payload receives 400.,pytest backend/tests/test_email_admin_api.py::test_email_account_rejects_header_injection,Security test output.,Validation only; rollback safe.,yes,P0
EMAIL-BE-022,Admin API,PR-02 email-admin-api,Backend,Backend Engineer,EMAIL-BE-019,Add admin email account update endpoint,backend/app/api/admin_email.py,PATCH /api/admin/email/accounts/{id} updates mutable metadata; provider/account identity changes are explicit and audited.,Patch updates display/from/reply/priority without breaking ChannelAccount.,pytest backend/tests/test_email_admin_api.py::test_update_email_account_mutable_fields,API response snapshot.,Rollback by patching previous values.,yes,P1
EMAIL-BE-023,Admin API,PR-02 email-admin-api,Backend,Backend Engineer,EMAIL-BE-022,Add email account activation/deactivation endpoint,backend/app/api/admin_email.py,POST /activate and /deactivate toggle ChannelAccount.is_active and write admin audit.,Inactive account not returned as send-ready.,pytest backend/tests/test_email_admin_api.py::test_deactivated_email_account_not_sendable,Capability response diff.,Reactivate account.,yes,P1
EMAIL-BE-024,Admin API,PR-02 email-admin-api,Backend,Backend Engineer,EMAIL-BE-019,Add email account readiness endpoint,"backend/app/api/admin_email.py, backend/app/services/email_readiness.py",GET /api/admin/email/accounts/{id}/readiness returns missing runtime/account/verification/secret/region/configuration_set items.,Readiness returns deterministic missing list.,pytest backend/tests/test_email_admin_api.py::test_email_account_readiness_missing_items,Readiness JSON.,Read-only endpoint.,yes,P1
EMAIL-BE-025,Admin API,PR-02 email-admin-api,Backend,Backend Engineer,EMAIL-BE-024,Add SES identity verification refresh endpoint,"backend/app/api/admin_email.py, backend/app/services/email_providers/ses.py",POST /verification-check calls provider abstraction and updates is_verified/health fields without exposing secrets.,Fake SES provider sets verified true in test.,pytest backend/tests/test_email_admin_api.py::test_verification_check_updates_verified_state,Provider fake evidence.,No outbound send; safe rollback.,yes,P1
EMAIL-BE-026,Admin API,PR-02 email-admin-api,Backend,Backend Engineer,EMAIL-BE-025,Add email account health check endpoint,"backend/app/api/admin_email.py, backend/app/services/email_health.py","POST /health-check validates runtime config, credentials availability, SES send quota/get identity where possible, and persists health_status.",Healthy/degraded/offline states are deterministic under fake provider.,pytest backend/tests/test_email_admin_api.py::test_email_health_check_state_machine,Health status transitions.,Readiness can remain degraded without sending.,yes,P1
EMAIL-BE-027,Admin API,PR-02 email-admin-api,Backend,Backend Engineer,EMAIL-BE-025,Add email account test-send endpoint,"backend/app/api/admin_email.py, backend/app/services/outbound_adapters/email.py","POST /test-send sends a controlled test email only to explicitly provided test recipient and marks result as test, not ticket outbound.",Test send returns provider_message_id under fake SES and rejects missing confirmation.,pytest backend/tests/test_email_admin_api.py::test_email_test_send_requires_confirmation,Test-send response.,Endpoint can be feature-flagged off.,no,P1
EMAIL-BE-028,Admin API,PR-02 email-admin-api,Backend,Backend Engineer,EMAIL-BE-019,Add admin suppression list endpoint,backend/app/api/admin_email.py,GET /api/admin/email/suppressions lists active suppression entries with reason and source event.,Admin can see suppressed recipient; unauthorized rejected.,pytest backend/tests/test_email_admin_api.py::test_list_email_suppressions,API response.,Read-only endpoint.,yes,P2
EMAIL-BE-029,Admin API,PR-02 email-admin-api,Backend,Backend Engineer,EMAIL-BE-028,Add admin suppression deactivate endpoint,backend/app/api/admin_email.py,POST /api/admin/email/suppressions/{id}/deactivate requires admin note and writes admin audit.,Suppression inactive after endpoint and send readiness can pass.,pytest backend/tests/test_email_admin_api.py::test_deactivate_suppression_requires_note,Audit and DB evidence.,Recreate suppression if needed.,yes,P2
EMAIL-BE-030,Send Contract,PR-03 capability-and-send-contract,Backend,Backend Engineer,EMAIL-BE-001,Extend OutboundSendRequest backward compatibly,backend/app/schemas.py,"Add optional subject, to_email, cc, bcc, html_body, attachment_ids fields; existing channel/body requests remain valid.",Legacy WhatsApp/WebChat payload still validates.,pytest backend/tests/test_email_send_schema.py::test_legacy_outbound_payload_still_validates,Schema test.,Remove optional fields if no callsites use them.,yes,P1
EMAIL-BE-031,Send Contract,PR-03 capability-and-send-contract,Backend,Backend Engineer,EMAIL-BE-030,Add Email-specific send request validation,backend/app/services/email_validation.py,"When channel=email validate recipient, subject generation, cc/bcc format, CRLF rejection, body presence.",Invalid email payload returns structured validation error.,pytest backend/tests/test_email_send_schema.py::test_email_payload_validation_errors_are_structured,Validation response.,Validation isolated.,yes,P0
EMAIL-BE-032,Send Contract,PR-03 capability-and-send-contract,Backend,Backend Engineer,"EMAIL-BE-016, EMAIL-DB-006",Upgrade capability registry to support Email ready/configurable,backend/app/services/outbound_channel_registry.py,"Email is customer_sendable only when runtime, active verified account, valid recipient, secret strategy, and no suppression are all ready.",Email capability returns ready only for fully configured fixture.,pytest backend/tests/test_email_channel_capabilities.py::test_email_ready_requires_all_gates,Capability JSON evidence.,Email can be forced experimental_not_ready by disabling OUTBOUND_EMAIL_ENABLED.,yes,P0
EMAIL-BE-033,Send Contract,PR-03 capability-and-send-contract,Backend,Backend Engineer,EMAIL-BE-032,Return precise Email missing reasons,backend/app/services/outbound_channel_registry.py,"Missing list must include exact tokens: outbound_email_enabled, email_channel_account, verified_email_identity, valid_email_recipient, email_provider_secret, not_suppressed.",Each missing scenario returns one deterministic token.,pytest backend/tests/test_email_channel_capabilities.py::test_email_missing_reasons_are_precise,Missing-token matrix.,No data impact.,yes,P1
EMAIL-BE-034,Send Contract,PR-03 capability-and-send-contract,Backend,Backend Engineer,"EMAIL-BE-030, EMAIL-DB-008",Create EmailOutboundMetadata when queueing email,"backend/app/services/ticket_service.py, backend/app/services/email_outbound_service.py",send_outbound_message creates TicketOutboundMessage plus EmailOutboundMetadata in same transaction when channel=email.,Email send API returns queued row and metadata exists.,pytest backend/tests/test_email_outbound_queueing.py::test_email_send_creates_metadata_atomically,DB transaction evidence.,Delete queued test rows.,yes,P0
EMAIL-BE-035,Send Contract,PR-03 capability-and-send-contract,Backend,Backend Engineer,EMAIL-BE-034,Generate default Email subject,backend/app/services/email_addressing.py,"If subject absent, generate Re: [ticket_no] title; preserve existing email thread subject when metadata exists.",Default subject deterministic and sanitized.,pytest backend/tests/test_email_outbound_queueing.py::test_default_subject_generation,Subject assertion.,No external impact.,yes,P1
EMAIL-BE-036,Send Contract,PR-03 capability-and-send-contract,Backend,Backend Engineer,EMAIL-BE-034,Resolve Email recipient from explicit/to preferred/customer,backend/app/services/email_addressing.py,"Resolution order: explicit to_email, ticket.preferred_reply_contact, customer.email. Reject source_chat_id unless it is valid email.",Recipient resolution matrix passes.,pytest backend/tests/test_email_outbound_queueing.py::test_email_recipient_resolution_order,Matrix output.,Validation rollback safe.,yes,P0
EMAIL-BE-037,Send Contract,PR-03 capability-and-send-contract,Backend,Backend Engineer,EMAIL-BE-034,Block suppressed Email recipient before queueing,backend/app/services/email_outbound_service.py,Active suppression blocks queueing with structured error; no outbound row is created.,Suppressed recipient returns 400 and no row.,pytest backend/tests/test_email_suppression.py::test_suppressed_recipient_blocked_before_queue,No-row assertion.,Deactivate suppression.,yes,P0
EMAIL-BE-038,Dispatch Worker,PR-04 email-dispatch-and-ses-provider,Backend,Backend Engineer,"EMAIL-BE-003, EMAIL-BE-034",Make outbox claim channel-aware,backend/app/services/message_dispatch.py,claim_pending_messages must claim email only when Email gate is enabled; WhatsApp/Telegram/SMS remain controlled by openclaw gate.,Email disabled leaves pending email untouched and does not increment retry_count.,pytest backend/tests/test_email_runtime_gate_and_rollback.py::test_email_disabled_does_not_claim_or_dead_letter_pending_email,Queue invariant output.,Set OUTBOUND_EMAIL_ENABLED=false.,yes,P0
EMAIL-BE-039,Dispatch Worker,PR-04 email-dispatch-and-ses-provider,Backend,Backend Engineer,EMAIL-BE-038,Route Email messages to Email adapter branch,"backend/app/services/message_dispatch.py, backend/app/services/outbound_adapters/email.py",process_outbound_message handles SourceChannel.email before legacy OpenClaw branch.,Email message never calls dispatch_via_openclaw_bridge.,pytest backend/tests/test_email_dispatch_adapter.py::test_email_never_uses_openclaw_bridge,Monkeypatch assertion.,Disable Email gate.,yes,P0
EMAIL-BE-040,Dispatch Worker,PR-04 email-dispatch-and-ses-provider,Backend,Backend Engineer,EMAIL-BE-039,Add Email adapter route resolver,backend/app/services/outbound_adapters/email.py,"Resolve active verified email account, recipient, subject, sender, reply-to, return-path and metadata row.",Missing account/recipient/metadata returns non-provider failure.,pytest backend/tests/test_email_dispatch_adapter.py::test_email_route_resolution_requires_account_and_metadata,Route context evidence.,No external call if resolution fails.,yes,P0
EMAIL-BE-041,Dispatch Worker,PR-04 email-dispatch-and-ses-provider,Backend,Backend Engineer,EMAIL-BE-040,Add Email body renderer,backend/app/services/email_rendering.py,Generate text and sanitized HTML body; reject script/event handlers and dangerous HTML.,HTML sanitizer strips unsafe content and text fallback exists.,pytest backend/tests/test_email_security.py::test_html_body_is_sanitized,Sanitized body snapshot.,Renderer isolated.,yes,P0
EMAIL-BE-042,Dispatch Worker,PR-04 email-dispatch-and-ses-provider,Backend,Backend Engineer,EMAIL-BE-040,Generate outbound threading headers,backend/app/services/email_headers.py,"Generate Message-ID, References, In-Reply-To, X-NexusDesk-Ticket-ID; reject CRLF.","Headers are deterministic, safe, and stored in metadata.",pytest backend/tests/test_email_dispatch_adapter.py::test_email_threading_headers_generated_and_stored,Header snapshot.,Header generation rollback safe.,yes,P1
